player_id,player_name,career_is_capped,cap_prob_model,career_role_guess,career_batting_runs,career_bat_avg,career_bat_sr,career_bowling_wickets,career_bow_econ,venue_fit_score,runs_slope,wk_slope,career_matches_played,career_age_years
58166,Deepesh Balyan,False,0.38769537880806787,opener,12.0,,57.142857142857146,0.0,16.0,57.142857142857146,,,2.0,
58167,Vishant Bhati,False,0.4016370728233166,top/middle,56.0,,116.66666666666667,,,116.66666666666667,,,2.0,
58168,Harish Dagar,False,0.4009874735642665,finisher,4.0,,50.0,2.0,10.666666666666666,50.0,,,3.0,
58169,Dhruv Kaushik,False,0.46974335231176034,top/middle,447.0,,145.6026058631922,1.0,11.837837837837839,145.6026058631922,-140.99999999999997,-0.9999999999999998,19.0,
58171,Pranav Rajvanshi,False,0.4094104871798178,finisher,110.0,,111.11111111111111,,,111.11111111111111,-7.999999999999998,,17.0,
58172,Manan Bhardwaj,False,0.43905011495461244,finishing allrounder,44.0,,141.93548387096774,19.0,7.080745341614906,141.93548387096774,-13.999999999999996,8.999999999999996,19.0,
58173,Yajas Sharma,False,0.4169892024086143,top/middle,218.0,,155.71428571428572,,,155.71428571428572,-123.99999999999994,,12.0,
58178,Ayush Doseja,False,0.4299009583445577,top/middle,334.0,,127.96934865900383,0.0,6.857142857142857,127.96934865900383,265.99999999999994,,13.0,
58179,Yugal Saini,False,0.42553153221381956,top/middle,339.0,,129.38931297709922,,,129.38931297709922,286.9999999999999,,14.0,
58181,Ekansh Dobal,False,0.427490172876413,finisher,250.0,,123.76237623762377,,,123.76237623762377,-67.99999999999999,,16.0,
58182,Suryakant Chauhan,False,0.4187748594524241,finishing allrounder,6.0,,120.0,1.0,8.75,120.0,,,3.0,
58184,Mayank Gusain,False,0.44526546964192737,finishing allrounder,212.0,,115.84699453551913,7.0,8.806451612903226,115.84699453551913,-3.999999999999999,6.999999999999998,21.0,
58185,Sanat Sangwan,False,0.4190171416493975,top/middle,265.0,,123.83177570093459,,,123.83177570093459,20.999999999999993,,12.0,25.23
58187,Keshav Dalal,False,0.43347649485888545,top/middle,216.0,,142.10526315789474,,,142.10526315789474,-139.99999999999994,,16.0,
58188,Kush Nagpal,False,0.37814261165199237,finisher,2.0,,22.22222222222222,,,22.22222222222222,0.0,,2.0,
58189,Sumit Chhikara,False,0.39934073262356296,finisher,27.0,,135.0,,,135.0,-10.999999999999998,,5.0,
58190,Arnav Bugga,False,0.4426904060012737,top/middle,352.0,,129.41176470588235,0.0,16.0,129.41176470588235,59.99999999999998,0.0,17.0,
58192,Sambhav Sharma,False,0.38004457156544086,finisher,0.0,,0.0,,,0.0,,,2.0,
58214,Sunil Roul,False,0.4175460603371397,finishing allrounder,1.0,,50.0,1.0,9.833333333333334,50.0,,,2.0,27.78
