player_id,player_name,career_is_capped,cap_prob_calibrated,cap_prob_calibrated_age,career_role_guess,career_batting_runs,career_bat_avg,career_bat_sr,career_bowling_wickets,career_bow_econ,venue_fit_score,runs_slope,wk_slope,career_matches_played,career_age_years
19435,Rajaram Sivaramakrishnan,FALSE,0.098930481,0.098930481,finishing allrounder,11,,73.33333333333333,9,8.37037037,73.33333333333333,1.6666666666666665,-1,8,25.12
19436,Govindaraajan AS,FALSE,0.098930481,0.098930481,opener,79,,133.89830508474577,2,7.615384615384615,133.89830508474577,,,2,
19437,S Akshay Jain,FALSE,0.098930481,0.084090909,finishing allrounder,3,,33.333333333333336,8,5.384615384615385,0.6845188127826887,-3,,12,32.94
1944,Keshav Maharaj,TRUE,1,0.7,finishing allrounder,79,,92.94117647058823,26,7.375722543352601,1.4738591223067885,-21.5,0.5999999999999999,25,35.8
19440,Adil Tunda,FALSE,0.058558559,0.058558559,finishing allrounder,21,,91.30434782608695,42,7.344632768361582,91.30434782608695,-17,-10,23,
19441,Parameeswaran S,TRUE,1,1,batting allrounder,744,,125.04201680672269,18,7.818897637795276,3.2898554723319506,53.8,0,34,25.76
19442,B Prabhu,FALSE,0.098930481,0.084090909,top/middle,51,,145.71428571428572,,,145.71428571428572,,,5,33.29
19449,Sabari S,FALSE,0.098930481,0.098930481,finishing allrounder,11,,122.22222222222223,3,6.895522388059701,122.22222222222223,,,4,24.93
19454,Satish Jangir,TRUE,1,1,finishing allrounder,272,,144.68085106382978,25,7.810126582278481,144.68085106382978,-25.57692308,-1.5,28,27.65
19455,Ramachandran Ragupathy,TRUE,0.8904109589041096,0.8904109589041096,opener,340,,126.39405204460967,,,4.175214035069064,28.000000000000007,,19,29.54
19457,Ashwath S,FALSE,0.112,0.0952,finishing allrounder,41,,97.61904761904762,7,4.604651162790698,97.61904761904762,,,6,32.54
19458,Kamaleeshwaran A,FALSE,0.22535211267605634,0.22535211267605634,batting allrounder,588,,133.33333333333334,10,10.014084507042254,133.33333333333334,-3.692307692,0.7692307692307694,35,24.24
19459,Karthik B Nair,FALSE,0.22535211267605634,0.22535211267605634,finishing allrounder,88,,96.7032967,24,6.269326683,96.7032967,-22.66666667,-1.333333333,19,29.31
19460,Manikandan J,FALSE,0.22535211267605634,0.22535211267605634,finisher,257,,109.36170212765957,3,9.684210526,109.36170212765957,-34.46153846,-1,35,27.01
19462,Yash Avinash Jadhav,FALSE,0.22535211267605634,0.22535211267605634,top/middle,302,,116.15384615384616,,,2.8653077631534116,-39.2,,24,26.44
19464,Premraj Rajavelu,FALSE,0.21153846153846154,0.21153846153846154,finisher,554,,131.9047619047619,3,7.811320754716981,131.9047619047619,-29.15384615,,31,20.5
19469,S Santhosh Kumaran,FALSE,0.22535211267605634,0.22535211267605634,finishing allrounder,135,,131.06796116504853,14,8.289940828402367,131.06796116504853,-13.26923077,-0.423076923,21,27.65
19470,Abin Mathew M,TRUE,0.36,0.36,finishing allrounder,1,,100,6,7.489051094890511,100,,-0.115384615,8,28.06
19472,Mohit Mittan,TRUE,0.8904109589041096,0.8904109589041096,batting allrounder,378,,117.02786377708978,3,6.363636363636363,24.190431338090704,-62.35714286,1,23,26.94
19475,Nitish Manikin Salekar,FALSE,0.098930481,0.098930481,batting allrounder,210,,111.70212765957447,6,6.142857142857143,111.70212765957447,,,8,
19476,Paras Ratnaparkhe,FALSE,0.22535211267605634,0.15774647887323942,batting allrounder,341,,113.2890365448505,13,7.342465753424658,113.2890365448505,-2.333333333,-1.423076923,18,37.56
