player_id,career_matches_played,career_batting_runs,career_batting_innings,career_bat_sr,career_bat_avg,career_bowling_wickets,career_bowling_innings,career_bow_econ,career_bow_sr,m12_matches_played,m12_batting_runs,m12_batting_innings,m12_bat_sr,m24_matches_played,m24_batting_runs,m24_batting_innings,m24_bat_sr
52368,3,5,1,62.5,,,,,,,,,,,,,
52377,7,5,2,62.5,,2,6,8.860465116,43,,,,,,,,
52378,8,39,4,58.208955223880594,,,,,,,,,,,,,
52379,8,19,3,135.71428571428572,,11,7,5.368421052631579,12.090909090909092,,,,,,,,
52382,6,5,1,166.66666666666666,,2,3,3.75,28,,,,,,,,
52384,8,17,5,62.96296296296296,,5,5,7.016949152542373,11.8,,,,,,,,
52390,5,38,4,97.43589743589743,,1,2,15.666666666666666,18,,,,,,,,
52393,8,55,7,98.21428571428571,,1,2,8.75,24,,,,,,,,
52394,8,6,2,66.66666666666667,,4,8,5.639097744360902,33.25,,,,,,,,
52396,7,58,4,98.30508474576271,,,,,,,,,,,,,
524,25,247,20,132.79569892473117,,9,8,5.061224489795919,16.333333333333332,25,247,20,132.79569892473117,21,221,17,139.8734177
52402,1,27,1,96.42857142857143,,,,,,,,,,,,,
52408,8,82,8,96.47058823529412,,5,3,6.255319149,9.4,,,,,,,,
52414,1,5,1,62.5,,,,,,,,,,,,,
52418,1,1,1,33.333333333333336,,,,,,,,,,,,,
52421,7,51,6,60,,0,1,14,,,,,,,,,
52422,7,59,6,96.72131147540983,,3,4,7.928571428571429,18.666666666666668,,,,,,,,
52423,4,12,3,70.58823529411765,,,,,,,,,,,,,
52425,7,82,7,120.58823529411765,,0,2,12.666666666666666,,,,,,,,,
52426,1,1,1,100,,1,1,12,7,,,,,,,,
52430,9,19,4,126.66666666666667,,9,7,7.602739726027397,16.22222222222222,,,,,,,,
52431,7,58,6,78.37837837837837,,,,,,,,,,,,,
52432,6,0,2,0,,5,4,4.2727272727272725,13.2,,,,,,,,
52433,8,24,5,57.142857142857146,,,,,,,,,,,,,
52434,4,1,2,50,,0,1,5.142857142857143,,,,,,,,,
52436,9,131,8,78.91566265060241,,,,,,,,,,,,,
52438,9,2,1,25,,4,7,4.864864864864865,27.75,,,,,,,,
52443,8,29,5,96.66666666666667,,9,7,6.515625,14.222222222222221,,,,,,,,
52444,8,113,7,110.7843137254902,,6,8,7.097142857142857,29.166666666666668,,,,,,,,
52446,5,11,3,91.66666666666667,,2,3,9,22,,,,,,,,
52455,10,44,4,97.77777777777777,,11,10,9.06,18.181818181818183,4,16,2,69.56521739130434,,,,
52658,1,0,1,0,,,,,,,,,,,,,
52660,5,83,5,93.25842696629213,,2,2,8.888888889,13.5,,,,,,,,
52675,3,30,3,176.47058823529412,,,,,,,,,,,,,
52678,12,38,5,79.16666666666667,,15,12,7.247787610619469,15.066666666666666,,,,,,,,
52679,15,17,5,100,,13,15,7.405405405405405,25.615384615384617,8,14,4,127.27272727272727,,,,
52682,10,302,10,145.19230769230768,,1,4,8.769230769,26,,,,,,,,
52683,3,37,3,112.12121212121212,,5,2,9.381818181818181,11,,,,,,,,
52729,8,11,1,220,,10,8,9.148936170212766,14.1,,,,,,,,
53167,2,21,1,84,,,,,,,,,,,,,
53174,11,122,9,129.7872340425532,,1,6,9.125,48,11,122,9,129.7872340425532,,,,
53192,7,165,7,196.42857142857142,,,,,,7,165,7,196.42857142857142,,,,
53222,4,21,3,91.30434782608695,,7,4,9.9,11.428571428571429,,,,,,,,
53474,1,0,1,0,,,,,,,,,,,,,
535,52,789,43,132.60504201680672,,,,,,52,789,43,132.60504201680672,52,789,43,132.60504201680672
53627,9,46,4,153.33333333333334,,0,2,14,,9,46,4,153.33333333333334,,,,
53630,8,97,4,156.4516129032258,,6,7,9.963302752293577,18.166666666666668,8,97,4,156.4516129032258,,,,
53644,2,37,2,127.58620689655173,,,,,,,,,,,,,
53647,3,156,3,177.27272727272728,,,,,,3,156,3,177.27272727272728,,,,
53675,7,136,6,100,,,,,,,,,,,,,
53748,4,59,4,190.32258064516128,,,,,,,,,,,,,
53776,8,96,7,188.23529411764707,,,,,,,,,,,,,
53839,9,34,4,188.88888888888889,,6,6,7.407407407407407,13.5,5,1,1,33.333333333333336,,,,
53840,3,47,3,127.02702702702703,,1,1,7.2,20,,,,,,,,
53842,6,9,3,45,,9,6,7.181102362204724,14.11111111111111,,,,,,,,
53843,4,10,4,45.45454545454545,,,,,,,,,,,,,
53844,2,3,2,27.272727272727273,,1,1,11.076923076923077,13,,,,,,,,
53848,1,0,1,0,,,,,,,,,,,,,
53851,2,54,2,100,,0,2,8.727272727272727,,,,,,,,,
53971,7,107,7,112.63157894736842,,1,1,5.5,12,5,90,5,108.43373493975903,,,,
54140,5,57,4,158.33333333333334,,6,5,6.466666666666667,15,5,57,4,158.33333333333334,,,,
54182,5,34,2,121.42857142857143,,,,,,5,34,2,121.42857142857143,,,,
542,2,8,2,40,,0,1,9,,2,8,2,40,2,8,2,40
54228,7,170,6,132.8125,,,,,,,,,,,,,
54233,5,41,3,95.34883720930233,,,,,,,,,,,,,
54409,9,15,2,136.36363636363637,,8,8,7.208955223880597,16.75,9,15,2,136.36363636363637,,,,
54410,10,188,9,122.07792207792208,,,,,,10,188,9,122.07792207792208,,,,
54413,9,61,6,124.48979591836735,,,,,,9,61,6,124.48979591836735,,,,
54414,9,188,8,129.6551724137931,,0,2,13,,1,,,,,,,
54429,16,56,7,169.6969696969697,,16,14,8.179775280898877,16.6875,16,56,7,169.6969696969697,,,,
54430,25,331,21,116.14035087719299,,,,,,17,202,14,109.78260869565217,,,,
54431,15,221,14,103.75586854460094,,,,,,15,221,14,103.75586854460094,,,,
54432,8,3,2,42.857142857142854,,9,8,8.140350877192983,19,8,3,2,42.857142857142854,,,,
54433,8,52,5,120.93023255813954,,5,6,10.112903225806452,24.8,8,52,5,120.93023255813954,,,,
54435,6,92,4,170.37037037037038,,4,4,12.872727272727273,13.75,6,92,4,170.37037037037038,,,,
54436,9,26,6,63.41463414634146,,6,7,9.471428571428572,23.333333333333332,9,26,6,63.41463414634146,,,,
54437,2,6,1,85.71428571428571,,2,2,10.68,25,2,6,1,85.71428571428571,,,,
54438,10,226,9,160.2836879432624,,10,8,8.294117647058824,13.6,10,226,9,160.2836879432624,,,,
54440,12,214,11,136.30573248407643,,2,6,10.191780821917808,36.5,12,214,11,136.30573248407643,,,,
54441,2,3,2,50,,0,1,11,,2,3,2,50,,,,
54442,10,197,9,133.1081081081081,,,,,,10,197,9,133.1081081081081,,,,
54443,3,14,3,155.55555555555554,,,,,,3,14,3,155.55555555555554,,,,
54461,28,370,24,161.57205240174673,,,,,,17,241,15,163.94557823129253,,,,
