player_id,player_name,career_is_capped,cap_prob_gb,cap_prob_gb_age,career_role_guess,career_batting_runs,career_bat_avg,career_bat_sr,career_bowling_wickets,career_bow_econ,career_matches_played,career_age_years,venue_fit_score,runs_slope,wk_slope
43336,Shantanu Saini,False,0.0016918750181832882,0.0016918750181832882,finisher,1.0,,33.333333333333336,,,2.0,26.13,33.333333333333336,,
43338,Ravinder Neg,False,0.00013263151548791797,0.00013263151548791797,finishing allrounder,35.0,,145.83333333333334,7.0,5.641025641025641,5.0,23.44,145.83333333333334,,
43340,Neeraj Rathore,True,0.9999734904684096,0.9999734904684096,top/middle,491.0,,141.09195402298852,1.0,9.84,17.0,27.48,8.39192752577875,42.499999999999986,0.4999999999999999
43341,Suyash Rawat,False,0.015741745182746847,0.015741745182746847,top/middle,29.0,,145.0,,,2.0,26.48,145.0,,
43342,Jaskaran Singh,True,0.9992543239712343,0.9992543239712343,finisher,10.0,,142.85714285714286,,,5.0,22.18,3.4382845335595853,-3.999999999999999,
43343,Gaurav Joshi,False,0.000470561683391779,0.000470561683391779,finisher,72.0,,112.5,,,4.0,24.28,112.5,,
43345,Shubham Taiswal,False,3.212102159650929e-05,3.212102159650929e-05,top/middle,101.0,,104.12371134020619,0.0,7.5,14.0,25.9,109.0909090909091,-26.999999999999993,
4335,Anurag Sarangi,False,2.173143159768825e-06,1.8471716858035013e-06,opener,169.0,,113.42281879194631,1.0,11.5,9.0,32.94,113.42281879194631,0.9999999999999998,
4338,Suryakant Pradhan,False,0.22975276756104862,0.1952898524268913,finishing allrounder,98.0,,153.125,10.0,7.610526315789474,11.0,32.16,6.116804793607266,-6.192307692307693,1.4615384615384617
4340,Tukuna Sahoo,False,0.00011587675835575586,8.11137308490291e-05,opener,112.0,,133.33333333333334,0.0,10.2,4.0,38.89,133.33333333333334,,
4342,Divyaraj Chauhan,False,1.9036215040600667e-06,1.9036215040600667e-06,finisher,177.0,,122.91666666666667,,,14.0,31.41,122.91666666666667,2.142857142857145,
4344,Snell Patel,False,6.192372769520564e-06,5.263516854092479e-06,top/middle,203.0,,131.8181818181818,,,9.0,32.11,131.8181818181818,-12.999999999999993,
43587,Sunil Bishnoi,False,0.0013116055770539554,0.0013116055770539554,finisher,240.0,,157.89473684210526,,,9.0,24.08,157.89473684210526,,
43591,R Nithiyananda,False,2.5225601630709078e-05,2.5225601630709078e-05,finishing allrounder,3.0,,42.857142857142854,9.0,7.386792452830188,12.0,20.88,42.857142857142854,0.9999999999999998,8.999999999999996
